"Time","Prey","Predator"
0,40,3
0.1,40.16,3.09
0.2,40.3134112,3.1831944
0.3,40.4598944624465,3.27968788077674
0.4,40.599101756019,3.37958682749496
0.5,40.7306763945737,3.48299914872278
0.6,40.854253336101,3.59003406844476
0.7,40.969459546827,3.70080188907778
0.8,41.0759144357245,3.8154137234724
0.9,41.1732303647973,3.93398119387992
1,41.2610132405525,4.05661609588752
1.1,41.3388631920695,4.18343002537289
1.2,41.4063753410052,4.31453396661165
1.3,41.4631406687292,4.45003783978857
1.4,41.5087469855518,4.59005000632301
1.5,41.5427800066804,4.73467673062327
1.6,41.5648245391011,4.88402159714007
1.7,41.5744657830315,5.03818488189898
1.8,41.5712907508996,5.19726287806108
1.9,41.5548898059832,5.36134717549321
2,41.5248583218645,5.53052389482751
2.1,41.4807984627264,5.70487287705764
2.2,41.4223210832162,5.88446683035576
2.3,41.3490477451473,6.06937043650274
2.4,41.2606128466749,6.25963942009965
2.5,41.1566658577966,6.45531958457117
2.6,41.0368736540796,6.65644581987294
2.7,40.9009229384297,6.86304108776956
2.8,40.7485227385057,7.07511539154601
2.9,40.5794069650709,7.29266473804051
3,40.393337014192,7.51567010092487
3.1,40.1901043937857,7.74409639518977
3.2,39.9695333526071,7.97789147379609
3.3,39.7314834874424,8.2169851584035
3.4,39.4758523020415,8.46128831695713
3.5,39.2025776892915,8.71069200167275
3.6,38.9116403063383,8.96506666157909
3.7,38.6030658108863,9.22426144422101
3.8,38.276926925819,9.48810360136689
3.9,37.9333452986489,9.75639801356734
4,37.572493122196,10.0289268481514
4.1,37.1945944833676,10.305449364695
4.2,36.7999264080239,10.5857018811368
4.3,36.3888195716979,10.8693979125285
4.4,35.9616586484309,11.1562284928952
4.5,35.5188822731844,11.4458626888317
4.6,35.0609825971969,11.737948311303
4.7,34.5885044202301,12.0321128296594
4.8,34.1020438888457,12.3279644891562
4.9,33.6022467555955,12.6250936303339
5,33.0898062001935,12.9230742055096
5.1,32.5654602202533,13.2214654844255
5.2,32.0299886058828,13.5198139378678
5.3,31.4842095191745,13.8176552848726
5.4,30.928975706261,14.1145166860766
5.5,30.365170375945,14.4099190629051
5.6,29.7937027848071,14.7033795197247
5.7,29.2155035739694,14.9944138438704
5.8,28.6315199072187,15.2825390566769
5.9,28.0427104638227,15.5672759873442
6,27.4500403420139,15.8481518406942
6.1,26.8544759306872,16.1247027296607
6.2,26.2569798073078,16.3964761437073
6.3,25.6585057193482,16.6630333252865
6.4,25.0599937047846,16.9239515279122
6.5,24.4623654043333,17.1788261313827
6.6,23.8665196142898,17.4272725921122
6.7,23.2733281241463,17.6689282093343
6.8,22.6836318777521,17.9034536910588
6.9,22.0982374907929,18.1305345070166
7,21.5179141509587,18.3498820193175
7.1,20.9433909205245,18.5612343850962
7.2,20.3753544543407,18.7643572289398
7.3,19.814447139589,18.9590440862979
7.4,19.2612656572547,19.1451166223
7.5,18.7163599592248,19.3224246333783
7.6,18.1802326493705,19.4908458417678
7.7,17.6533387519915,19.6502854952864
7.8,17.1360858466681,19.8006757867552
7.9,16.628834544927,19.9419751089915
8,16.1318992812033,20.0741671624881
8.1,15.6455493883768,20.1972599336825
8.2,15.1700104266559,20.311284562148
8.3,14.7054657337494,20.4162941151131
8.4,14.252058164047,20.5123622874819
8.5,13.809891984881,20.5995820450103
8.6,13.3790348987793,20.6780642275355
8.7,12.9595201618883,20.7479361281995
8.8,12.5513487703652,20.8093400634885
8.9,12.1544916884329,20.8624319476716
9,11.7688920939003,20.9073798839033
9.1,11.3944676191996,20.9443627828841
9.2,11.0311125683229,20.9735690185896
9.3,10.6787000923991,20.9951951292073
9.4,10.3370843089906,21.0094445700814
9.5,10.0061023524686,21.0165265241866
9.6,9.68557634500448,21.0166547744391
9.7,9.37531527978566,21.0100466410291
9.8,9.07511680997822,20.9969219859215
9.9,8.78476893873352,20.9775022857345
10,8.50405160713699,20.9520097733691
10.1,8.23273817843642,20.9206666480214
10.2,7.97059681815777,20.8836943525727
10.3,7.71739177082336,20.841312916805
10.4,7.47288453493698,20.7937403644342
10.5,7.2368349387006,20.7411921815827
10.6,7.00900211958765,20.6838808440169
10.7,6.7891454114295,20.6220154002537
10.8,6.57702514308567,20.5558011074803
10.9,6.3724033530762,20.4854391171256
11,6.17504442476854,20.4111262068736
11.1,5.98471564684222,20.3330545558918
11.2,5.80118770381316,20.2514115600817
11.3,5.62423510139688,20.1663796842081
11.4,5.45363653143481,20.078136347854
11.5,5.28917518100958,19.9868538422452
11.6,5.13063899024194,19.8926992751117
11.7,4.97782086310027,19.7958345408826
11.8,4.8305188353711,19.6964163136539
11.9,4.68853620373998,19.5945960605097
12,4.55168161972266,19.490520072932
12.1,4.41976915197028,19.3843295141775
12.2,4.29261832025321,19.2761604806541
12.3,4.17005410420895,19.1661440754709
12.4,4.05190692972348,19.05440649248
12.5,3.93801263560342,18.9410691092639
12.6,3.82821242299122,18.8262485876553
12.7,3.72235278977796,18.7100569805004
12.8,3.6202854520792,18.5926018434936
12.9,3.52186725465939,18.473986351029
13,3.42696007202056,18.3543094151114
13.1,3.33543070171057,18.2336658064754
13.2,3.24715075125638,18.1121462771463
13.3,3.16199651998754,17.9898376837655
13.4,3.079848876885,17.8668231110791
13.5,3.00059313546953,17.7431819950605
13.6,2.9241189266327,17.6189902452056
13.7,2.8503200702107,17.4943203655977
13.8,2.77909444600729,17.3692415743945
13.9,2.71034386488584,17.2438199214413
14,2.64397394047215,17.1181184037582
14.1,2.57989396193797,16.9921970786901
14.2,2.5180167682706,16.8661131745465
