"Time","Predator"
0,3
0.1,3.09
0.2,3.1831944
0.3,3.27968788077674
0.4,3.37958682749496
0.5,3.48299914872278
0.6,3.59003406844476
0.7,3.70080188907778
0.8,3.8154137234724
0.9,3.93398119387992
1,4.05661609588752
1.1,4.18343002537289
1.2,4.31453396661165
1.3,4.45003783978857
1.4,4.59005000632301
1.5,4.73467673062327
1.6,4.88402159714007
1.7,5.03818488189898
1.8,5.19726287806108
1.9,5.36134717549321
2,5.53052389482751
2.1,5.70487287705764
2.2,5.88446683035576
2.3,6.06937043650274
2.4,6.25963942009965
2.5,6.45531958457117
2.6,6.65644581987294
2.7,6.86304108776956
2.8,7.07511539154601
2.9,7.29266473804051
3,7.51567010092487
3.1,7.74409639518977
3.2,7.97789147379609
3.3,8.2169851584035
3.4,8.46128831695713
3.5,8.71069200167275
3.6,8.96506666157909
3.7,9.22426144422101
3.8,9.48810360136689
3.9,9.75639801356734
4,10.0289268481514
4.1,10.305449364695
4.2,10.5857018811368
4.3,10.8693979125285
4.4,11.1562284928952
4.5,11.4458626888317
4.6,11.737948311303
4.7,12.0321128296594
4.8,12.3279644891562
4.9,12.6250936303339
5,12.9230742055096
5.1,13.2214654844255
5.2,13.5198139378678
5.3,13.8176552848726
5.4,14.1145166860766
5.5,14.4099190629051
5.6,14.7033795197247
5.7,14.9944138438704
5.8,15.2825390566769
5.9,15.5672759873442
6,15.8481518406942
6.1,16.1247027296607
6.2,16.3964761437073
6.3,16.6630333252865
6.4,16.9239515279122
6.5,17.1788261313827
6.6,17.4272725921122
6.7,17.6689282093343
6.8,17.9034536910588
6.9,18.1305345070166
7,18.3498820193175
7.1,18.5612343850962
7.2,18.7643572289398
7.3,18.9590440862979
7.4,19.1451166223
7.5,19.3224246333783
7.6,19.4908458417678
7.7,19.6502854952864
7.8,19.8006757867552
7.9,19.9419751089915
8,20.0741671624881
8.1,20.1972599336825
8.2,20.311284562148
8.3,20.4162941151131
8.4,20.5123622874819
8.5,20.5995820450103
8.6,20.6780642275355
8.7,20.7479361281995
8.8,20.8093400634885
8.9,20.8624319476716
9,20.9073798839033
9.1,20.9443627828841
9.2,20.9735690185896
9.3,20.9951951292073
9.4,21.0094445700814
9.5,21.0165265241866
9.6,21.0166547744391
9.7,21.0100466410291
9.8,20.9969219859215
9.9,20.9775022857345
10,20.9520097733691
10.1,20.9206666480214
10.2,20.8836943525727
10.3,20.841312916805
10.4,20.7937403644342
10.5,20.7411921815827
10.6,20.6838808440169
10.7,20.6220154002537
10.8,20.5558011074803
10.9,20.4854391171256
11,20.4111262068736
11.1,20.3330545558918
11.2,20.2514115600817
11.3,20.1663796842081
11.4,20.078136347854
11.5,19.9868538422452
11.6,19.8926992751117
11.7,19.7958345408826
11.8,19.6964163136539
11.9,19.5945960605097
12,19.490520072932
12.1,19.3843295141775
12.2,19.2761604806541
12.3,19.1661440754709
12.4,19.05440649248
12.5,18.9410691092639
12.6,18.8262485876553
12.7,18.7100569805004
12.8,18.5926018434936
12.9,18.473986351029
13,18.3543094151114
13.1,18.2336658064754
13.2,18.1121462771463
13.3,17.9898376837655
13.4,17.8668231110791
13.5,17.7431819950605
13.6,17.6189902452056
13.7,17.4943203655977
13.8,17.3692415743945
13.9,17.2438199214413
14,17.1181184037582
14.1,16.9921970786901
14.2,16.8661131745465
14.3,16.7399211985901
14.4,16.613673042262
14.5,16.4874180835604
14.6,16.3612032865099
14.7,16.2350732976819
14.8,16.1090705397422
14.9,15.9832353020207
15,15.8576058281106
15.1,15.7322184005146
15.2,15.6071074223719
15.3,15.482305496301
15.4,15.3578435004071
15.5,15.2337506615071
15.6,15.1100546256284
15.7,14.9867815258462
15.8,14.8639560475234
15.9,14.7416014910228
16,14.6197398319614
16.1,14.4983917790793
16.2,14.3775768297951
16.3,14.2573133235225
16.4,14.1376184928198
16.5,14.0185085124467
16.6,13.8999985463992
16.7,13.7821027929963
16.8,13.6648345280858
16.9,13.5482061464421
17,13.4322292014206
17.1,13.3169144429366
17.2,13.202271853833
17.3,13.0883106847002
17.4,12.975039487208
17.5,12.8624661460107
17.6,12.7505979092818
17.7,12.6394414179348
17.8,12.5290027335828
17.9,12.4192873652907
18,12.3103002951692
18.1,12.202046002859
18.2,12.0945284889522
18.3,11.9877512973965
18.4,11.8817175369239
18.5,11.7764299015468
18.6,11.6718906901613
18.7,11.5681018252956
18.8,11.4650648710404
18.9,11.362781050197
19,11.2612512606771
19.1,11.1604760911859
19.2,11.0604558362209
19.3,10.9611905104149
19.4,10.8626798622532
19.5,10.7649233871914
19.6,10.6679203401995
19.7,10.5716697477594
19.8,10.4761704193371
19.9,10.3814209583551
20,10.2874197726848
20.1,10.1941650846812
20.2,10.1016549407797
20.3,10.0098872206737
20.4,9.91885964609242
20.5,9.82856978919446
20.6,9.73901508059648
20.7,9.65019281705084
20.8,9.56210016878854
20.9,9.47473418654186
21,9.38809180826064
21.1,9.30216986553554
21.2,9.2169650897411
21.3,9.13247411791067
21.4,9.04869349835498
21.5,8.96561969603538
21.6,8.88324909770246
21.7,8.80157801681002
21.8,8.72060269821441
21.9,8.64031932266817
22,8.56072401111706
22.1,8.48181282880886
22.2,8.40358178922197
22.3,8.32602685782171
22.4,8.24914395565152
22.5,8.17292896276621
22.6,8.09737772151401
22.7,8.02248603967387
22.8,7.94824969345413
22.9,7.87466443035852
23,7.80172597192502
23.1,7.72943001634313
23.2,7.65777224095449
23.3,7.58674830464204
23.4,7.51635385011211
23.5,7.44658450607423
23.6,7.37743588932279
23.7,7.3089036067248
